STITCH,atc5,atc_idx
CID000003883,A02BC03,534
CID000003405,B03BB01,1000
CID000003406,V03AB34,1271
CID000002978,A04AD10,365
CID000002973,V03AC01,624
CID000002250,C10AA05,570
CID002761171,J04AD03,114
CID000002022,D06BB03,759
CID000002022,J05AB01,760
CID000002022,S01AD03,761
CID000002022,J05AB11,787
CID003000502,J04AB30,1439
CID000003385,L01BC02,1026
CID000002118,N05BA12,130
CID000004828,C07AA03,1167
CID000004829,A10BG03,788
CID000001125,A16AX07,1811
CID000123631,L01XE02,1095
CID000005487,M03BX02,1004
CID000005486,B01AC17,1472
CID000047320,M03AC11,607
CID000005466,N03AG06,763
CID000003379,R01AD04,1457
CID000003379,R03BA03,1458
CID000003373,V03AB25,940
CID000003372,N05AB02,871
CID006398525,A02BX02,731
CID000005453,L01AC01,915
CID000002375,L02BB03,1382
CID000004212,L01DB07,1367
CID000002370,N07AB02,1284
CID000002983,D06AA01,1383
CID000002983,J01AA01,1384
CID000003793,J02AC02,1057
CID000004689,A07AA06,1448
CID000003157,C02CA04,361
CID000003156,R07AB01,1356
CID000003158,N06AA12,1052
CID000082146,L01XX25,1041
CID000002564,R06AA08,1429
CID000000187,S01EB09,1462
CID000060854,N05AE04,355
CID000003899,L04AA13,687
CID000003890,S01EE01,163
CID000156419,H05BX01,1206
CID000003419,C09AA09,1006
CID000003417,J01XX01,1260
CID000003414,J05AD01,1890
CID000003410,R03AC13,682
CID000002786,D10AF01,135
CID000002786,G01AA10,136
CID000002786,J01FF01,137
CID000002781,R06AA04,698
CID000002781,D04AA14,697
CID000004075,A07EC02,227
CID000003964,N05AH01,1209
CID000003962,C10AA02,702
CID000003961,C09CA01,77
CID000027991,H01BA02,372
CID000001546,L01BB04,947
CID000004030,P02CA01,1603
CID000004032,C02BB01,1370
CID000003333,C08CA02,1350
CID000002162,C08CA01,390
CID000004411,C07AA12,762
CID000004819,N07AX01,855
CID000004819,S01EB01,856
CID005311027,S01EE03,197
CID000060843,L01BA04,19
CID000005496,J01GB01,498
CID000005496,S01AA12,499
CID000009034,N01AF01,1497
CID000009034,N05CA15,1498
CID000005253,C07AA07,717
CID000003365,D01AC15,363
CID000003365,J02AC01,364
CID000003366,D01AE21,420
CID000003366,J02AX01,421
CID000003367,L01BB05,1456
CID000005478,C07AA06,261
CID000005478,S01ED01,262
CID000005479,J01XD02,409
CID000005479,P01AB02,410
CID005282044,J01AA12,116
CID000005078,N02CC04,71
CID000005076,J05AE03,418
CID000002308,A07EA07,982
CID000002308,D07AC15,983
CID000002308,R01AD01,984
CID000002308,R03BA01,985
CID000005672,L01CA04,1471
CID000047725,L02AE03,1565
CID000010548,S01EB03,349
CID000003784,C08CA03,1434
CID000003780,C01DA08,904
CID000003148,A04AA04,1486
CID000003143,L01CD02,610
CID000006256,S01AD02,1593
CID000001206,N06BA03,415
CID000014888,L01XX27,1426
CID000002578,L01AD01,1453
CID000003559,N05AD01,868
CID000000191,C01EB10,1238
CID000004253,G04BE07,1480
CID000004253,N02AA01,245
CID000004253,N04BC07,1481
CID000051577,A10BF02,152
CID000001972,A01AB04,1264
CID000001972,A07AA07,1265
CID000001972,G01AA03,1266
CID000001972,J02AA01,1267
CID000001971,J05AF06,767
CID000001978,C07AB04,1187
CID000054786,B01AC21,1361
CID000032797,D07AD01,955
CID000047472,G01AF15,1532
CID000002955,J04BA02,214
CID000002955,D10AX05,213
CID000002958,L01DB02,929
CID000003950,L01AD02,1675
CID000003957,R06AX13,825
CID000003957,R06AX27,675
CID000003957,C09AA03,62
CID000003954,A07DA03,699
CID005362070,A07EC04,385
CID000125017,N06AX23,113
CID000002474,N01BB01,1076
CID000004513,A02BA04,1204
CID000002713,A01AB03,858
CID000002713,B05CA02,859
CID000002713,D08AC02,860
CID000002713,D09AA12,861
CID000002713,R02AA05,862
CID000002713,S01AX09,863
CID000002713,S02AA09,864
CID000002713,S03AA04,865
CID000005314,M03AB01,1250
CID000000453,A06AD16,1067
CID000000453,B05BC01,1068
CID000000453,B05CX04,1069
CID000077999,A10BG02,992
CID000002478,L01AB01,1230
CID000002173,J01CA01,352
CID000002173,S01AA19,353
CID000002170,N06AA17,1327
CID000002177,J05AE07,1197
CID000003222,C09AA02,690
CID000001148,N06AX02,1058
CID000005267,C03DA01,285
CID000031378,H02AA02,857
CID000003310,L01CB01,166
CID000005040,L04AA10,107
CID000074989,P01AX06,884
CID000005665,N03AG04,1055
CID000002311,C09AA07,619
CID005473385,L01BB03,1893
CID000002405,C07AB07,753
CID000060612,N05CM18,925
CID000060613,J05AB12,1452
CID000504578,A01AB08,489
CID000504578,A07AA01,490
CID000504578,B05CA09,491
CID000504578,D06AX04,492
CID000504578,J01GB05,493
CID000504578,R02AB01,494
CID000504578,S01AA03,495
CID000504578,S02AA07,496
CID000504578,S03AA01,497
CID005487301,A06AX06,1282
CID003062316,L01XE06,40
CID000000298,D06AX02,1761
CID000000298,D10AF03,1762
CID000000298,G01AA05,1763
CID000000298,J01BA01,1764
CID000000298,S01AA01,1765
CID000000298,S02AA01,1766
CID000000298,S03AA08,1767
CID000003040,J01CF01,741
CID000003043,J05AF02,683
CID000003042,A03AA07,902
CID000002541,C09CA06,1013
CID000083786,M04AA01,927
CID000002895,M03BX08,724
CID005493444,C09XA02,1558
CID000004727,M01CC01,333
CID005362420,S01LA01,1042
CID000000450,G03CA01,232
CID000000450,G03CA03,142
CID000000450,L02AA03,233
CID000000681,C01CA04,910
CID000002802,N03AE01,54
CID000002800,G03GB02,1559
CID000004425,V03AB15,398
